Chr	Center	Size
1	204.5	157	
1	384.5	135	
1	641.5	133	
1	877.5	145	
1	1241	146	
1	1458	142	
1	1801.5	147	
1	1970.5	147	
1	2098	158	
1	2234.5	131	
1	2410	158	
1	2542	126	
1	2660.5	127	
1	2766	132	
1	3243	148	
1	3516.5	149	
1	3736.5	149	
1	3870.5	147	
1	4018	160	
1	4230	142	
1	4450	154	
1	4664.5	139	
1	4852	146	
1	5170	154	
1	5335	140	
1	5467.5	143	
1	5601	136	
1	5756.5	147	
1	6009.5	147	
1	6165.5	155	
1	6280.5	143	
1	6473	156	
1	6627.5	147	
1	6789	148	
1	6943.5	137	
1	7067.5	129	
1	7323	152	
1	7460.5	129	
1	7594	144	
1	7751	148	
1	7942.5	151	
1	8063	142	
1	8336.5	147	
1	8522	142	
1	8639.5	153	
1	8787	142	
1	8928.5	131	
1	9052	150	
1	9244.5	147	
1	9508.5	149	
1	9617.5	147	
1	9722.5	147	
1	10025.5	133	
1	10335	144	
1	10474.5	151	
1	10605.5	153	
1	10797	140	
1	10957.5	139	
1	11122.5	147	
1	11272.5	137	
1	11413.5	143	
1	11647.5	147	
1	11826	136	
1	12049	158	
1	12233.5	153	
1	12520	144	
1	12651	124	
1	12860.5	147	
1	13073.5	133	
1	13759.5	147	
1	13896.5	155	
1	14117	136	
1	14277	154	
1	14421	140	
1	14577.5	139	
1	14811	142	
1	15004.5	127	
1	15165.5	145	
1	15296	150	
1	15473.5	121	
1	15755.5	147	
1	15919	156	
1	16115.5	147	
1	16286.5	145	
1	16532	138	
1	16777.5	149	
1	16892.5	147	
1	17123	134	
1	17329	148	
1	17559	124	
1	17773.5	147	
1	18072	134	
1	18208.5	141	
1	18376.5	147	
1	18525.5	133	
1	18653.5	135	
1	18883.5	159	
1	19073.5	137	
1	19231.5	147	
1	19473.5	145	
1	19659	144	
1	19762	146	
1	20010.5	135	
1	20243	152	
1	20388	146	
1	20560.5	143	
1	20904.5	159	
1	21049.5	151	
1	21263	136	
1	21402	154	
1	21556	132	
1	21744.5	127	
1	22207	144	
1	22336	138	
1	22639	144	
1	22806	138	
1	22927.5	147	
1	23138.5	131	
1	23306.5	147	
1	23424.5	135	
1	23618.5	131	
1	23735.5	141	
1	23949	158	
1	24096.5	153	
1	24219.5	147	
1	24374	122	
1	24780.5	147	
1	24951	156	
1	25095.5	125	
1	25226	138	
1	25373.5	137	
1	25610.5	131	
1	25860	160	
1	25970.5	133	
1	26079.5	139	
1	26241	158	
1	26452.5	149	
1	26688.5	147	
1	26855	158	
1	27014.5	143	
1	27193	124	
1	27444	138	
1	27759	146	
1	27918.5	131	
1	28073.5	157	
1	28256	148	
1	28423.5	147	
1	28537.5	147	
1	28852.5	147	
1	28981.5	143	
1	29091	156	
1	29204	142	
1	29313.5	141	
1	29423	156	
1	29577.5	141	
1	29707	150	
1	29815.5	149	
1	30315.5	129	
1	30490.5	155	
1	30701.5	133	
1	30966	140	
1	31187	150	
1	31319	158	
1	31637.5	133	
1	31999	154	
1	32362	142	
1	32502.5	147	
1	32864.5	123	
1	32988	144	
1	33124.5	121	
1	33248.5	137	
1	33367.5	147	
1	33495	146	
1	33627.5	133	
1	33729.5	147	
1	33893	124	
1	34101	132	
1	34322.5	129	
1	34448.5	147	
1	34579	152	
1	34768.5	155	
1	35047	134	
1	35177.5	147	
1	35298.5	147	
1	35482	138	
1	35621	136	
1	35745.5	149	
1	36021	140	
1	36158	142	
1	36343	152	
1	36455	160	
1	36567	156	
1	36688.5	147	
1	36841	130	
1	37163	122	
1	37311.5	135	
1	37468.5	133	
1	37639.5	129	
1	37855.5	159	
1	38075	146	
1	38370	156	
1	38606.5	155	
1	38766.5	145	
1	38932.5	155	
1	39109.5	147	
1	39303.5	153	
1	39511.5	147	
1	39645	126	
1	39785.5	147	
1	39998.5	149	
1	40126	138	
1	40339.5	141	
1	40573	122	
1	40701	142	
1	40904	152	
1	41041	160	
1	41245.5	145	
1	41385	122	
1	41522.5	147	
1	41695	138	
1	42033	144	
1	42226.5	139	
1	42373	146	
1	42510.5	147	
1	42654.5	155	
1	42883	154	
1	43016	122	
1	43251.5	149	
1	43423.5	149	
1	43566	136	
1	43699.5	139	
1	43994	130	
1	44205.5	159	
1	44320.5	143	
1	44532.5	147	
1	44672.5	155	
1	44951.5	149	
1	45220.5	147	
1	45334.5	133	
1	45558.5	147	
1	45837.5	153	
1	46064.5	151	
1	46358.5	157	
1	46532	136	
1	46677.5	147	
1	46826	156	
1	47371	150	
1	47920.5	127	
