Chr	Center	Size
1	162.5	151	
1	397.5	147	
1	647	154	
1	861.5	147	
1	1208.5	123	
1	1495.5	147	
1	1764.5	153	
1	1968.5	147	
1	2153	160	
1	2314.5	147	
1	2440.5	147	
1	2551.5	147	
1	2671	128	
1	2780.5	147	
1	3242	150	
1	3517	136	
1	3707.5	147	
1	3853.5	147	
1	4022	142	
1	4234.5	147	
1	4445.5	149	
1	4626	120	
1	4835	148	
1	5180.5	143	
1	5409.5	147	
1	5582	136	
1	5752	150	
1	5991.5	147	
1	6205.5	141	
1	6496.5	147	
1	6616	120	
1	6793.5	147	
1	6983.5	147	
1	7112.5	157	
1	7299.5	147	
1	7423	122	
1	7612.5	131	
1	7794.5	147	
1	7912.5	131	
1	8103	150	
1	8337.5	159	
1	8543	150	
1	8796	156	
1	8995.5	147	
1	9122.5	155	
1	9254	150	
1	9612	152	
1	9736.5	139	
1	10024	130	
1	10353.5	131	
1	10498	156	
1	10667.5	147	
1	10797.5	147	
1	10932	152	
1	11178.5	147	
1	11291.5	129	
1	11432	130	
1	11643.5	121	
1	11846	150	
1	12041	148	
1	12229.5	159	
1	12530.5	147	
1	12664.5	147	
1	12871	140	
1	12992.5	147	
1	13102	132	
1	13763.5	143	
1	13925.5	147	
1	14123.5	149	
1	14268	148	
1	14455.5	147	
1	14585	128	
1	14824	148	
1	14998	150	
1	15177	160	
1	15357.5	147	
1	15467	142	
1	15724	160	
1	15917.5	147	
1	16109	148	
1	16281.5	157	
1	16550.5	147	
1	16777.5	149	
1	16893	134	
1	17138.5	121	
1	17352.5	137	
1	17547.5	155	
1	17812.5	147	
1	18126.5	147	
1	18262.5	143	
1	18378.5	147	
1	18496	160	
1	18671.5	147	
1	18841	124	
1	19049.5	147	
1	19218.5	135	
1	19464	140	
1	19670	158	
1	20002.5	131	
1	20123	128	
1	20282	150	
1	20420.5	147	
1	20545.5	143	
1	20889.5	147	
1	21051.5	157	
1	21261.5	147	
1	21394.5	147	
1	21551.5	159	
1	21806.5	147	
1	22218	156	
1	22345	154	
1	22629	134	
1	22765.5	147	
1	22908.5	137	
1	23163.5	147	
1	23292.5	147	
1	23436.5	147	
1	23636.5	147	
1	23749.5	147	
1	23967.5	147	
1	24088.5	151	
1	24226.5	133	
1	24382.5	121	
1	24757	152	
1	25001.5	147	
1	25101.5	121	
1	25219.5	147	
1	25404.5	147	
1	25591.5	147	
1	25931.5	147	
1	26056	130	
1	26241.5	159	
1	26472.5	121	
1	26709.5	147	
1	26849	126	
1	27006.5	147	
1	27229.5	147	
1	27479.5	147	
1	27761	130	
1	27885	142	
1	28099	128	
1	28246.5	159	
1	28390.5	147	
1	28534	134	
1	28848	132	
1	29034.5	147	
1	29162.5	129	
1	29274.5	147	
1	29398.5	151	
1	29553.5	147	
1	29661.5	147	
1	29795	140	
1	30295	158	
1	30549.5	147	
1	30723.5	147	
1	30960	152	
1	31204.5	147	
1	31344.5	147	
1	31501	138	
1	31628.5	147	
1	32011	140	
1	32376.5	147	
1	32510.5	125	
1	32837	142	
1	32941.5	131	
1	33121.5	147	
1	33237.5	121	
1	33366.5	149	
1	33543.5	147	
1	33702	136	
1	33813	152	
1	33970.5	147	
1	34095.5	147	
1	34311.5	147	
1	34415.5	141	
1	34599.5	147	
1	34783.5	147	
1	35057.5	127	
1	35235	158	
1	35488	140	
1	35597.5	147	
1	35782.5	147	
1	36018.5	149	
1	36158.5	147	
1	36331.5	147	
1	36471.5	147	
1	36715.5	159	
1	36850.5	147	
1	37194.5	147	
1	37300.5	149	
