Chr	Center	Size
1	200.5	147	
1	394	142	
1	658	140	
1	876.5	155	
1	1250	136	
1	1462.5	139	
1	1777.5	147	
1	1985	142	
1	2119.5	147	
1	2235	156	
1	2412.5	147	
1	2532	140	
1	2663	128	
1	2777.5	135	
1	3235.5	139	
1	3511.5	147	
1	3751.5	131	
1	3880	144	
1	4024	142	
1	4233	150	
1	4441	148	
1	4671.5	133	
1	4846	142	
1	5171	136	
1	5334.5	151	
1	5464.5	153	
1	5585	160	
1	5762.5	131	
1	5994.5	151	
1	6165.5	147	
1	6292.5	159	
1	6471.5	145	
1	6628.5	147	
1	6784.5	137	
1	6936	130	
1	7063	146	
1	7322	146	
1	7432.5	147	
1	7598.5	147	
1	7750	160	
1	7937	142	
1	8074.5	137	
1	8333.5	157	
1	8510.5	155	
1	8639	160	
1	8790.5	151	
1	8938.5	141	
1	9051	152	
1	9240	146	
1	9470.5	147	
1	9608	160	
1	9703.5	147	
1	10003.5	137	
1	10340.5	151	
1	10490.5	143	
1	10596.5	141	
1	10793	132	
1	10966.5	143	
1	11137	148	
1	11275	142	
1	11418	150	
1	11630.5	137	
1	11836	146	
1	12049.5	135	
1	12230.5	153	
1	12527	142	
1	12658	154	
1	12856	154	
1	13080	142	
1	13758	138	
1	13889.5	155	
1	14104	126	
1	14310.5	147	
1	14420	152	
1	14567	140	
1	14820.5	159	
1	15015.5	139	
1	15184.5	147	
1	15306.5	147	
1	15469.5	153	
1	15744	152	
1	15921.5	143	
1	16120.5	147	
1	16290	156	
1	16521.5	153	
1	16778.5	159	
1	16904	152	
1	17118	156	
1	17331	154	
1	17548.5	141	
1	17786	144	
1	18091.5	153	
1	18226.5	147	
1	18359	152	
1	18568.5	147	
1	18646.5	125	
1	18767.5	147	
1	18883.5	155	
1	19071	156	
1	19241.5	157	
1	19466.5	147	
1	19661.5	149	
1	19772.5	147	
1	20008.5	153	
1	20125	134	
1	20254.5	147	
1	20401	144	
1	20574.5	147	
1	20911	152	
1	21036	126	
1	21159	138	
1	21262.5	143	
1	21433.5	147	
1	21548.5	143	
1	21752.5	141	
1	22213.5	139	
1	22344.5	131	
1	22639	152	
1	22805.5	153	
1	22932	154	
1	23163.5	133	
1	23311	156	
1	23432.5	143	
1	23610	146	
1	23718	150	
1	23956	154	
1	24107.5	137	
1	24224.5	153	
1	24359.5	157	
1	24762	152	
1	24961.5	145	
1	25102.5	147	
1	25222.5	145	
1	25364	122	
1	25591	154	
1	25875	152	
1	25978	148	
1	26091.5	147	
1	26233	152	
1	26451	144	
1	26677	156	
1	26856.5	151	
1	27006.5	145	
1	27195	140	
1	27444	150	
1	27743	156	
1	27902	122	
1	28071.5	149	
1	28261	142	
1	28426.5	147	
1	28536.5	141	
1	28845	142	
1	28970.5	143	
1	29088	152	
1	29198.5	149	
1	29367.5	147	
1	29573	160	
1	29700.5	147	
1	29811	160	
1	30306.5	147	
1	30499	154	
1	30688.5	137	
1	30954.5	147	
1	31179	158	
1	31313.5	143	
1	31525	138	
1	31644.5	139	
1	31989.5	143	
1	32383	160	
1	32481	154	
1	32847	132	
1	32999.5	147	
1	33109.5	157	
1	33267.5	139	
1	33375	138	
1	33504	156	
1	33611.5	141	
1	33724.5	141	
1	33879.5	147	
1	34022.5	143	
1	34117.5	127	
1	34314	148	
1	34470	144	
1	34579	148	
1	34758.5	141	
1	35023	146	
1	35185.5	147	
1	35301.5	147	
1	35498	120	
1	35617	152	
1	35751	152	
1	36027	158	
1	36160	148	
1	36328.5	153	
1	36448.5	139	
1	36558	150	
1	36699.5	147	
1	36847.5	143	
1	37142.5	137	
1	37308.5	145	
1	37469.5	147	
1	37634.5	155	
1	37831	128	
1	38072.5	147	
1	38251.5	149	
1	38384.5	135	
1	38594	154	
1	38749.5	147	
1	38928	158	
1	39080.5	147	
1	39315.5	129	
1	39507	154	
1	39645	148	
1	39763.5	147	
1	39966	136	
1	40130	158	
1	40338.5	157	
1	40559.5	129	
1	40693	148	
1	40908	142	
1	41006	146	
1	41247.5	125	
1	41379.5	141	
1	41528.5	151	
1	41702.5	139	
1	42035	150	
1	42229.5	153	
1	42379	154	
1	42545.5	155	
1	42653.5	147	
1	42885	126	
1	43001.5	147	
1	43250	152	
1	43436.5	147	
1	43557	140	
1	43685	134	
1	43987	148	
1	44203	120	
1	44299.5	139	
1	44388.5	153	
1	44548	150	
1	44665.5	137	
1	44959	146	
1	45192	160	
1	45333.5	147	
1	45567	158	
1	45836	146	
1	46072.5	147	
1	46367.5	151	
1	46517.5	149	
1	46682	152	
1	46836.5	151	
1	47381.5	127	
1	47915	158	
1	48030	138	
1	48193	160	
1	48463.5	153	
1	48563.5	159	
1	48685.5	147	
1	48815	128	
1	49012.5	145	
1	49180	140	
1	49310.5	125	
1	49491	140	
1	49745	138	
1	49949.5	147	
1	50212	148	
1	50315.5	159	
1	50431	144	
1	50618	136	
1	50740	152	
1	50850.5	131	
1	50974.5	153	
1	51254.5	159	
1	51561.5	139	
1	51637	148	
1	51828	152	
1	52027.5	121	
1	52116	160	
1	52207.5	141	
1	52374.5	153	
1	52497.5	139	
1	52746.5	143	
1	52865.5	147	
1	53121	150	
1	53288.5	143	
1	53421.5	139	
1	53521.5	159	
1	53675.5	139	
1	53932	160	
1	54115	150	
1	54288	154	
1	54448.5	149	
1	54707.5	149	
1	54898.5	121	
1	55126.5	143	
1	55284.5	151	
1	55394.5	145	
1	55588	158	
1	55840.5	135	
1	56085.5	137	
1	56271	144	
1	56606.5	147	
1	56710.5	151	
1	56915.5	147	
1	57181	154	
1	57380.5	153	
1	57504	148	
1	57626.5	135	
1	57815	154	
1	58011	152	
1	58150.5	155	
1	58348	152	
1	58658	154	
1	58869.5	133	
1	59000.5	147	
1	59090	146	
1	59381	144	
1	59555	140	
1	59775.5	147	
1	60031.5	159	
1	60283.5	157	
1	60453.5	147	
1	60677	146	
1	60799.5	147	
1	60909	144	
1	61074.5	147	
1	61233.5	151	
1	61370	150	
1	61576	140	
1	61696	140	
1	61812.5	137	
1	62031.5	143	
1	62160.5	141	
1	62288	142	
1	62653	136	
1	62889.5	135	
1	63097	150	
1	63233	140	
1	63405	146	
1	63566	142	
1	63680	150	
1	63819.5	149	
1	64091.5	157	
1	64214.5	159	
1	64374	144	
1	64543	130	
1	64668	158	
1	64795.5	155	
1	64937	146	
1	65043.5	141	
1	65148.5	133	
1	65340.5	141	
1	65509	158	
1	65633.5	147	
1	65832	160	
1	65963	154	
1	66133.5	129	
1	66333.5	143	
1	66493	148	
1	66636.5	137	
1	66802	150	
1	67013	132	
1	67152.5	139	
1	67357	128	
1	67570.5	151	
1	67747	156	
1	67867.5	153	
1	68011.5	147	
1	68325	126	
1	68468	160	
1	68588.5	147	
1	68728.5	147	
1	68935.5	149	
1	69131	152	
1	69329	148	
1	69453.5	149	
1	69554.5	157	
1	69701.5	139	
1	69903.5	155	
1	70076.5	151	
1	70248	148	
1	70436	136	
1	70701.5	137	
1	70811	148	
1	70916.5	153	
1	71035.5	155	
1	71265.5	147	
