Chr	Center	Size
1	188.5	147	
1	398	138	
1	656	136	
1	882.5	149	
1	1247.5	137	
1	1460	152	
1	1768.5	153	
1	1986	146	
1	2095	152	
1	2244.5	143	
1	2404.5	145	
1	2529.5	139	
1	2668	150	
1	2777	140	
1	3234	152	
1	3514	148	
1	3735.5	143	
1	3872	142	
1	4025	148	
1	4227.5	147	
1	4455.5	151	
1	4671.5	139	
1	4848	156	
1	5169	148	
1	5332	150	
1	5465	154	
1	5587	152	
1	5759.5	145	
1	5996.5	149	
1	6163.5	141	
1	6288.5	145	
1	6474.5	139	
1	6614	138	
1	6788.5	133	
1	6930	146	
1	7063	144	
1	7322.5	143	
1	7440	140	
1	7598.5	151	
1	7758	144	
1	7934	136	
1	8073.5	149	
1	8338.5	145	
1	8519	152	
1	8635.5	151	
1	8795	150	
1	8936.5	141	
1	9049.5	155	
1	9246	154	
1	9494.5	139	
1	9604.5	143	
1	9709.5	155	
1	10002	154	
1	10340.5	133	
1	10481	152	
1	10616.5	137	
1	10797	152	
1	10957	148	
1	11141.5	157	
1	11273.5	137	
1	11422.5	151	
1	11643	140	
1	11834.5	141	
1	12044	152	
1	12245	154	
1	12520	150	
1	12654	150	
1	12855	146	
1	13075	146	
1	13758.5	137	
1	13894.5	145	
1	14124	154	
1	14277	154	
1	14416.5	149	
1	14576.5	147	
1	14815.5	153	
1	15011.5	157	
1	15167.5	143	
1	15306.5	151	
1	15471	142	
1	15745.5	145	
1	15926.5	153	
1	16108	152	
1	16291	148	
1	16520	136	
1	16782.5	143	
1	16905	142	
1	17115	138	
1	17332	148	
1	17548.5	145	
1	17783	146	
1	18079	146	
1	18197	154	
1	18362.5	143	
1	18515	150	
1	18658	146	
1	18756.5	145	
1	18880.5	147	
1	19069	150	
1	19238.5	139	
1	19470	152	
1	19650.5	145	
1	19767	148	
1	20009	146	
1	20125	150	
1	20246	148	
1	20393	142	
1	20566	142	
1	20906	138	
1	21045.5	157	
1	21151	154	
1	21257	144	
1	21403	146	
1	21555.5	149	
1	21753.5	153	
1	22207	148	
1	22343	152	
1	22637	150	
1	22799	150	
1	22934.5	149	
1	23133.5	153	
1	23310.5	147	
1	23426.5	141	
1	23622	134	
1	23729.5	147	
1	23947	158	
1	24101	146	
1	24221	152	
1	24360	138	
1	24765.5	149	
1	24955	130	
1	25100.5	157	
1	25226.5	143	
1	25377	140	
1	25604.5	153	
1	25870	138	
1	25985	152	
1	26089.5	147	
1	26234.5	157	
1	26454	148	
1	26677.5	139	
1	26852.5	139	
1	27006	140	
1	27195	148	
1	27454	144	
1	27754.5	155	
1	27902.5	139	
1	28071.5	155	
1	28251.5	135	
1	28422.5	143	
1	28535.5	151	
1	28859.5	151	
1	28971.5	147	
1	29086	150	
1	29194	144	
1	29317.5	151	
1	29428	148	
1	29573	152	
1	29696	146	
1	29817	152	
1	30309.5	149	
1	30499.5	149	
1	30691.5	147	
1	30956	150	
1	31168.5	155	
1	31319.5	143	
1	31521.5	149	
1	31641	148	
1	31992	146	
1	32374.5	159	
1	32478	134	
1	32849	144	
1	32981	152	
1	33102.5	139	
1	33270.5	153	
1	33372	158	
1	33499.5	147	
1	33618	146	
1	33724.5	141	
1	33856.5	155	
1	34011	156	
1	34107.5	147	
1	34316.5	135	
1	34470	134	
1	34588.5	147	
1	34764.5	153	
1	35031	148	
1	35184.5	147	
1	35299	150	
1	35474.5	153	
1	35625.5	147	
1	35739.5	147	
1	36023	158	
1	36162	154	
1	36322.5	151	
1	36456	140	
1	36564	136	
1	36695	148	
1	36844.5	145	
1	37148	158	
1	37307.5	143	
1	37463.5	141	
1	37637.5	153	
1	37847.5	149	
1	38077.5	147	
1	38255.5	147	
1	38375	150	
1	38593.5	149	
1	38747.5	145	
1	38927.5	151	
1	39088	142	
1	39300.5	141	
1	39505.5	155	
1	39641.5	145	
1	39771.5	143	
1	39997	148	
1	40136	156	
1	40329	152	
1	40558	144	
1	40692	160	
1	40904	144	
1	41040	144	
1	41243	144	
1	41381.5	151	
1	41516	150	
1	41699.5	145	
1	42030.5	157	
1	42238.5	151	
1	42367.5	155	
1	42548.5	141	
1	42652.5	147	
1	42886	150	
1	43009	146	
1	43240.5	147	
1	43426	158	
1	43564	150	
1	43697.5	151	
1	43988.5	149	
1	44198.5	151	
1	44309	160	
1	44412	156	
1	44547.5	149	
1	44675	130	
1	44945	146	
1	45210	140	
1	45337.5	155	
1	45567	156	
1	45842.5	149	
1	46065	134	
1	46361.5	143	
1	46517	146	
1	46672.5	135	
1	46824.5	145	
1	47369	146	
1	47915	146	
1	48031	150	
1	48191	154	
1	48447.5	135	
1	48565	138	
1	48696	144	
1	48834.5	145	
1	49005.5	153	
1	49169.5	151	
1	49294.5	143	
1	49491	148	
1	49739	158	
1	49955	148	
1	50211	144	
1	50327	142	
1	50429.5	141	
1	50628.5	145	
1	50743.5	147	
1	50851.5	149	
1	50957.5	145	
1	51240	138	
1	51500	142	
1	51630	148	
1	51835	132	
1	51995.5	137	
1	52100	160	
1	52209	158	
1	52372	152	
1	52499.5	135	
1	52750	146	
1	52871.5	143	
1	53122.5	155	
1	53282	158	
1	53414	148	
1	53524	148	
1	53679	148	
1	53935	140	
1	54114	150	
1	54273	152	
1	54451.5	143	
1	54718	142	
1	54882	146	
1	55135.5	145	
1	55287	148	
1	55407.5	149	
1	55600.5	159	
1	55837	132	
1	56086.5	145	
1	56276.5	143	
1	56621.5	147	
1	56715.5	151	
1	56921	140	
1	57187.5	139	
1	57381	158	
1	57505	144	
1	57622	148	
1	57813	136	
1	57994	140	
1	58145	152	
1	58346	152	
1	58648	152	
1	58866.5	145	
1	58992.5	145	
1	59112.5	143	
1	59380.5	147	
1	59549	150	
1	59760	146	
1	60022.5	141	
1	60284	156	
1	60497.5	141	
1	60680	142	
1	60800.5	145	
1	60921	154	
1	61080.5	137	
1	61248	146	
1	61371	140	
1	61569	144	
1	61680.5	137	
1	61812.5	151	
1	62034.5	153	
1	62162	148	
1	62292	150	
1	62628.5	143	
1	62896.5	151	
1	63096	144	
1	63233.5	149	
1	63406.5	149	
1	63577.5	149	
1	63679.5	145	
1	63813	142	
1	64096.5	141	
1	64216.5	139	
1	64368.5	141	
1	64543	142	
1	64664	150	
1	64797.5	141	
1	64930	142	
1	65044	144	
1	65146	144	
1	65337.5	137	
1	65509.5	149	
1	65615.5	139	
1	65834.5	159	
1	65967	158	
1	66142.5	157	
1	66336	148	
1	66498.5	145	
1	66640.5	143	
1	66813	144	
1	67010.5	147	
1	67157	148	
1	67360	146	
1	67571	124	
1	67737	144	
1	67865.5	153	
1	68007	152	
1	68317	148	
1	68452.5	143	
1	68588	152	
1	68718.5	147	
1	68935	150	
1	69127.5	145	
1	69332.5	143	
1	69451.5	147	
1	69565	142	
1	69692.5	139	
1	69900.5	153	
1	70077.5	145	
1	70236.5	149	
1	70421.5	153	
1	70695	146	
1	70797	142	
1	70907.5	141	
1	71046	144	
1	71254	146	
1	71373.5	139	
1	71551.5	143	
1	71667.5	149	
1	71797.5	151	
1	72029	140	
1	72141	138	
1	72367.5	157	
1	72468.5	137	
1	72603.5	147	
1	72729.5	137	
1	72868.5	149	
1	73034	154	
1	73210	148	
1	73397	146	
1	73570.5	149	
1	73756.5	145	
1	73998	136	
1	74228	148	
1	74340.5	143	
1	74586.5	153	
1	74726.5	145	
1	74924.5	157	
1	75102	156	
1	75217.5	135	
1	75439.5	151	
1	75639	144	
1	75836.5	147	
1	76084	144	
1	76217	142	
1	76451	144	
1	76694	150	
1	76944	136	
1	77067.5	137	
1	77234.5	141	
1	77393.5	157	
1	77581.5	135	
1	77711.5	145	
1	77817	142	
1	77938.5	135	
1	78038	136	
1	78139.5	151	
1	78272	146	
1	78493.5	145	
1	78593.5	149	
1	78806.5	147	
1	78945	140	
1	79151	152	
1	79262.5	147	
1	79556	132	
1	79773.5	153	
1	80017.5	151	
1	80130.5	129	
1	80295	158	
1	80743	152	
1	80920.5	137	
1	81238.5	139	
1	81647.5	147	
1	81858.5	141	
1	82117.5	147	
1	82229.5	135	
1	82350.5	147	
1	82500	148	
1	82638	152	
1	82845	138	
1	83136	134	
1	83371.5	151	
1	83549.5	147	
1	83757	144	
1	83972.5	137	
1	84091.5	147	
1	84221	152	
1	84360	142	
1	84603.5	149	
1	84775	140	
1	84923	148	
1	85092	140	
1	85284.5	151	
1	85497.5	147	
1	85600.5	155	
1	85724.5	149	
1	85833	146	
1	85938.5	155	
1	86110	154	
1	86268	150	
1	86428.5	147	
1	86551.5	141	
1	86681.5	147	
1	86819	154	
1	87036.5	153	
1	87223	142	
1	87351.5	153	
1	87504	142	
1	87682.5	151	
1	87872.5	129	
1	87986.5	135	
1	88180	148	
1	88346	148	
1	88574	142	
1	88749.5	145	
1	88874	138	
1	88989.5	141	
1	89143	144	
1	89254	140	
1	89404.5	151	
1	89575	142	
1	89791	140	
1	89993.5	147	
1	90219.5	153	
1	90425	152	
1	90700	128	
1	90796.5	151	
1	90949	144	
1	91100	134	
1	91251	154	
1	91373.5	149	
1	91548	140	
1	91743.5	141	
1	91903	150	
1	92041.5	143	
1	92507.5	157	
1	92616	150	
1	92727.5	153	
1	92972.5	155	
1	93115	142	
1	93256	158	
1	93485	154	
1	93677.5	143	
1	93785.5	135	
1	93908.5	149	
1	94293	140	
1	94432	148	
1	94552.5	145	
1	94865.5	143	
1	95103	150	
1	95456	144	
1	95564	150	
1	95696	150	
1	95805	148	
1	95962.5	155	
1	96095	142	
1	96259.5	149	
1	96544.5	139	
1	96886	146	
1	97146.5	147	
1	97401.5	151	
1	97609.5	157	
1	97825.5	143	
1	98004	146	
1	98354.5	147	
1	98496.5	153	
1	98712	144	
1	98851	134	
1	98973	148	
1	99092.5	147	
1	99257	144	
1	99458	144	
1	99715	144	
1	99927.5	155	
1	100074	138	
1	100352	139	
1	100462	156	
1	100672	138	
1	100866	138	
1	100996	155	
1	101106	146	
1	101250	151	
1	101554	153	
1	101750	153	
1	101909	148	
1	102145	152	
1	102296	143	
1	102598	141	
1	102732	151	
1	102947	158	
1	103068	143	
1	103190	147	
1	103392	145	
1	103568	148	
1	103734	140	
1	104137	150	
1	104262	154	
1	104550	157	
1	104694	150	
1	104979	138	
1	105092	147	
1	105297	150	
1	105447	148	
1	105620	149	
1	105861	150	
1	106025	150	
1	106258	150	
1	106363	146	
1	106676	155	
1	106866	153	
1	107122	150	
1	107266	147	
1	107588	143	
1	107804	140	
1	108235	154	
1	108460	157	
1	108672	147	
1	108902	129	
1	109240	151	
1	109374	149	
1	109618	155	
1	109812	137	
1	110020	149	
1	110370	145	
1	110474	149	
